wavelength,reflectance
350,32.71097
351,32.23407
352,31.80427
353,31.47077
354,31.2501
355,31.1155
356,31.04427
357,31.0195
358,31.07167
359,31.3008
360,31.4095
361,31.36577
362,31.2807
363,31.1474
364,30.9726
365,30.76207
366,30.5065
367,30.18647
368,29.9341
369,29.74187
370,29.60923
371,29.46107
372,29.30983
373,29.26107
374,29.29133
375,29.38907
376,29.40067
377,29.36927
378,29.3207
379,29.26727
380,29.20077
381,29.10953
382,29.02547
383,28.94947
384,28.88193
385,28.79853
386,28.69597
387,28.56287
388,28.49773
389,28.53797
390,28.60697
391,28.7122
392,28.85143
393,29.06283
394,29.32817
395,29.62657
396,29.8945
397,30.1091
398,30.24203
399,30.27783
400,30.22673
401,30.17643
402,30.00747
403,29.73573
404,29.56597
405,29.46067
406,29.41017
407,29.38777
408,29.39923
409,29.44463
410,29.50993
411,29.59487
412,29.69813
413,29.81037
414,29.9205
415,30.00727
416,30.10063
417,30.20157
418,30.30577
419,30.41133
420,30.51533
421,30.61207
422,30.6837
423,30.7246
424,30.75623
425,30.78827
426,30.8266
427,30.87597
428,30.91227
429,30.91703
430,30.92173
431,30.94073
432,30.98637
433,31.0355
434,31.09113
435,31.15427
436,31.25453
437,31.3883
438,31.5524
439,31.7086
440,31.85957
441,32.0234
442,32.14993
443,32.2448
444,32.33263
445,32.40717
446,32.47773
447,32.5827
448,32.7152
449,32.86637
450,33.02363
451,33.067
452,32.99667
453,32.95503
454,32.92977
455,32.9193
456,32.8716
457,32.84613
458,32.8676
459,32.93407
460,32.9971
461,33.03837
462,33.10203
463,33.16727
464,33.2277
465,33.3043
466,33.37117
467,33.40923
468,33.44327
469,33.45967
470,33.44813
471,33.36577
472,33.32877
473,33.43023
474,33.87843
475,34.26987
476,34.29967
477,34.21977
478,34.0827
479,33.94123
480,33.89587
481,33.88617
482,33.87027
483,33.89443
484,33.95703
485,34.057
486,34.10507
487,34.15227
488,34.23433
489,34.32983
490,34.4373
491,34.55423
492,34.65083
493,34.75803
494,34.89723
495,34.96947
496,35.05667
497,35.2171
498,35.33563
499,35.4585
500,35.61307
501,35.70367
502,35.77647
503,35.8476
504,35.904
505,35.96893
506,36.0489
507,36.10033
508,36.17123
509,36.2757
510,36.3538
511,36.43953
512,36.53667
513,36.6214
514,36.7034
515,36.78857
516,36.8988
517,36.9909
518,37.06307
519,37.1494
520,37.24827
521,37.3642
522,37.515
523,37.6222
524,37.70767
525,37.84
526,37.99843
527,38.14343
528,38.2224
529,38.318
530,38.4382
531,38.59463
532,38.71477
533,38.79413
534,38.82837
535,38.905
536,39.01043
537,39.14717
538,39.4094
539,39.7
540,39.9519
541,40.0274
542,40.08103
