wavelength,reflectance
350,21.45556
351,21.10134
352,20.7848
353,20.52576
354,20.3335
355,20.20106
356,20.12434
357,20.09354
358,20.0925
359,20.08516
360,20.0811
361,20.07402
362,20.03586
363,19.91974
364,19.70934
365,19.44948
366,19.1656
367,18.88248
368,18.67152
369,18.51202
370,18.37002
371,18.26752
372,18.21844
373,18.26286
374,18.34986
375,18.45914
376,18.51538
377,18.52208
378,18.47946
379,18.3865
380,18.25902
381,18.11676
382,17.99968
383,17.89454
384,17.7543
385,17.66196
386,17.62266
387,17.58134
388,17.58016
389,17.63334
390,17.73964
391,17.88226
392,18.04452
393,18.28482
394,18.5486
395,18.77074
396,18.90226
397,18.94616
398,18.92834
399,18.85252
400,18.718
401,18.51236
402,18.32168
403,18.1785
404,18.15288
405,18.18028
406,18.22932
407,18.26742
408,18.30786
409,18.35784
410,18.44118
411,18.5383
412,18.62312
413,18.7029
414,18.76462
415,18.77928
416,18.79392
417,18.81344
418,18.83132
419,18.88116
420,18.967
421,19.07502
422,19.19814
423,19.3287
424,19.42264
425,19.49688
426,19.55752
427,19.6052
428,19.63554
429,19.64632
430,19.67462
431,19.71442
432,19.76242
433,19.81608
434,19.8751
435,19.93878
436,20.00742
437,20.07602
438,20.13818
439,20.19374
440,20.2584
441,20.36902
442,20.49398
443,20.62304
444,20.74124
445,20.85776
446,20.96838
447,21.0601
448,21.09606
449,21.07392
450,21.00902
451,20.99644
452,21.04476
453,21.07102
454,21.11384
455,21.182
456,21.24216
457,21.27138
458,21.26674
459,21.31854
460,21.36386
461,21.38238
462,21.41846
463,21.45156
464,21.47606
465,21.51932
466,21.558
467,21.57554
468,21.60332
469,21.65514
470,21.74322
471,21.88794
472,21.99858
473,22.00312
474,21.82122
475,21.63114
476,21.56964
477,21.62644
478,21.73628
479,21.8475
480,21.9232
481,21.97002
482,21.99204
483,22.0427
484,22.10046
485,22.15114
486,22.22178
487,22.29226
488,22.3481
489,22.40212
490,22.46608
491,22.549
492,22.6022
493,22.66068
494,22.74882
495,22.80888
496,22.86034
497,22.91608
498,22.96948
499,23.02884
500,23.10062
501,23.17516
502,23.25342
503,23.33412
504,23.40648
505,23.47674
506,23.54744
507,23.61968
508,23.69198
509,23.76362
510,23.83418
511,23.89946
512,23.95856
513,24.01002
514,24.0745
515,24.15154
516,24.2185
517,24.27454
518,24.32826
519,24.42008
520,24.51468
521,24.60218
522,24.67264
523,24.73582
524,24.80768
525,24.92808
526,25.0078
527,25.06726
528,25.1369
529,25.21728
530,25.30156
531,25.3806
532,25.45576
533,25.54138
534,25.64798
535,25.744
536,25.8202
537,25.8696
538,25.87412
539,25.87294
540,25.88988
541,25.9539
542,26.02762
543,26.10366
544,26.18942
545,26.26502
546,26.33018
547,26.38824
548,26.46294
549,26.545
550,26.61356
551,26.67346
552,26.72148
553,26.75654
554,26.81736
555,26.87924
556,26.92526
557,26.9819
558,27.04426
559,27.10746
560,27.14888
561,27.19358
562,27.2442
563,27.29012
564,27.34244
565,27.39956
566,27.45724
567,27.50032
568,27.5412
569,27.59258
570,27.64728
571,27.6863
572,27.70398
573,27.74472
574,27.79194
575,27.83824
576,27.87256
577,27.90864
578,27.9434
579,27.96398
580,27.99084
581,28.01174
582,28.01472
583,28.0283
584,28.04798
585,28.0702
586,28.08876
587,28.10212
588,28.11662
589,28.15568
590,28.1761
591,28.1894
592,28.22464
593,28.2394
594,28.25382
595,28.28198
596,28.30674
597,28.33638
598,28.36758
599,28.38478
600,28.39138
601,28.39258
602,28.39702
603,28.42044
604,28.43768
605,28.43176
606,28.45794
607,28.46298
608,28.45062
609,28.4861
610,28.49238
611,28.48814
612,28.50238
613,28.4965
614,28.49402
615,28.50588
616,28.51404
617,28.52276
618,28.52998
619,28.52984
620,28.53254
621,28.53818
622,28.54646
623,28.5616
624,28.5735
625,28.58172
626,28.5942
627,28.62068
628,28.64236
629,28.64332
630,28.67514
631,28.71466
632,28.74524
633,28.7413
634,28.7211
635,28.6985
636,28.69408
637,28.69126
638,28.68762
639,28.68344
640,28.68972
641,28.69688
642,28.70168
643,28.70136
644,28.70934
645,28.71448
646,28.71384
647,28.71386
648,28.70846
649,28.70694
650,28.71826
651,28.73184
652,28.74036
653,28.74828
654,28.77872
655,28.79436
656,28.7964
657,28.78948
658,28.78486
659,28.7997
660,28.8214
661,28.82348
662,28.80928
663,28.80234
664,28.81504
665,28.83796
666,28.84732
667,28.84194
668,28.82512
669,28.82122
670,28.83074
671,28.84732
672,28.8501
673,28.8597
674,28.86528
675,28.86522
676,28.88882
677,28.9099
678,28.9203
679,28.9171
680,28.9345
681,28.9587
682,28.97654
683,28.97272
684,28.94122
685,28.90512
686,28.87898
687,28.86998
688,28.87166
689,28.88474
690,28.9054
691,28.92524
692,28.923
693,28.91186
694,28.90026
695,28.9131
696,28.92134
697,28.92958
698,28.94806
699,28.96872
700,28.97636
701,28.97528
702,28.97814
703,28.96812
704,28.97128
705,28.9893
706,29.00492
707,28.98478
708,28.97032
709,28.97578
710,28.9873
711,28.98504
712,28.98188
713,28.98156
714,28.9754
715,28.98174
716,28.99016
717,29.0017
718,29.03664
719,29.03436
720,29.03164
721,29.03976
722,29.03974
723,29.0401
724,29.0389
725,29.036
726,29.03484
727,29.0152
728,29.01698
729,29.0441
730,29.06314
731,29.06466
732,29.05498
733,29.0488
734,29.07118
735,29.07856
736,29.08484
737,29.07946
738,29.0553
739,29.09566
740,29.11532
741,29.10906
742,29.09466
743,29.0942
744,29.06966
745,29.04904
746,29.05092
747,29.04812
748,29.04602
749,29.04714
750,29.04918
751,29.0449
752,29.01558
753,29.01426
754,29.03064
755,29.03514
756,29.0508
757,29.05572
758,29.05254
759,29.05158
760,29.07444
761,29.08494
762,29.09956
763,29.10456
764,29.08136
765,29.07986
766,29.0759
767,29.07226
768,29.06894
769,29.0501
770,29.05554
771,29.04178
772,29.0178
773,29.00728
774,28.98616
775,28.96422
776,28.97296
777,28.99672
778,28.9751
779,28.9739
780,28.99026
781,28.9917
782,28.96538
783,28.95404
784,28.95994
785,28.94158
786,28.9323
787,28.97712
788,29.00854
789,29.0323
790,29.03496
791,29.0179
792,28.9881
793,28.9502
794,28.91342
795,28.90536
796,28.90428
797,28.88468
798,28.9119
799,28.92432
800,28.90726
801,28.88702
802,28.89286
803,28.88324
804,28.87644
805,28.85502
806,28.82046
807,28.78698
808,28.77322
809,28.76524
810,28.75872
811,28.74698
812,28.7409
813,28.7732
814,28.7578
815,28.73478
816,28.72808
817,28.73862
818,28.7414
819,28.70428
820,28.69966
821,28.70314
822,28.69276
823,28.66746
824,28.66064
825,28.63674
826,28.63392
827,28.62524
828,28.62326
829,28.63592
830,28.62368
831,28.60862
832,28.61256
833,28.61946
834,28.59886
835,28.54358
836,28.53682
837,28.52564
838,28.5058
839,28.50148
840,28.5028
841,28.4925
842,28.47998
843,28.44082
844,28.4697
845,28.45484
846,28.42328
847,28.42822
848,28.41526
849,28.39668
850,28.41638
851,28.4204
852,28.40482
853,28.3706
854,28.31902
855,28.28132
856,28.28324
857,28.27246
858,28.27088
859,28.2831
860,28.28662
861,28.26048
862,28.24446
863,28.24362
864,28.24792
865,28.24738
866,28.25358
867,28.25066
868,28.23454
869,28.25862
870,28.2477
871,28.2235
872,28.23694
873,28.2308
874,28.22782
875,28.23096
876,28.20374
877,28.2057
878,28.18092
879,28.17312
880,28.1287
881,28.1266
882,28.13904
883,28.15026
884,28.1563
885,28.12276
886,28.11638
887,28.10986
888,28.10018
889,28.06044
890,28.026
891,28.01028
892,27.99928
893,27.97438
894,27.95442
895,27.9732
896,27.93838
897,27.94102
898,27.9737
899,28.00836
900,27.99754
901,27.96532
902,27.96848
903,27.9862
904,27.96036
905,27.92796
906,27.95632
