wavelength,reflectance
350,26.91703
351,26.9633
352,27.01807
353,27.06883
354,27.12847
355,27.19237
356,27.26263
357,27.26283
358,27.23357
359,27.28153
360,27.34987
361,27.43453
362,27.56077
363,27.67633
364,27.76297
365,27.90003
366,28.04213
367,28.15097
368,28.20097
369,28.20733
370,28.19407
371,28.13573
372,28.04743
373,28.00703
374,27.9996
375,28.02503
376,28.09997
377,28.1704
378,28.19253
379,28.3079
380,28.44827
381,28.52377
382,28.5872
383,28.6431
384,28.70187
385,28.72857
386,28.717
387,28.66003
388,28.59757
389,28.5459
390,28.45653
391,28.36347
392,28.29187
393,28.1722
394,28.0774
395,28.09993
396,28.19937
397,28.35283
398,28.51233
399,28.65547
400,28.78793
401,28.9853
402,29.06927
403,29.01293
404,28.8537
405,28.7183
406,28.66067
407,28.55717
408,28.4547
409,28.38277
410,28.3304
411,28.30023
412,28.295
413,28.30657
414,28.3324
415,28.37367
416,28.39933
417,28.4191
418,28.46287
419,28.51483
420,28.56817
421,28.60593
422,28.6229
423,28.61367
424,28.56417
425,28.49947
426,28.43333
427,28.39793
428,28.37257
429,28.34203
430,28.29063
431,28.2274
432,28.15857
433,28.0992
434,28.04733
435,27.99947
436,27.97
437,27.97447
438,28.03377
439,28.10737
440,28.184
441,28.24987
442,28.26363
443,28.23763
444,28.21107
445,28.1631
446,28.10497
447,28.08853
448,28.1314
449,28.2318
450,28.38233
451,28.42883
452,28.35057
453,28.21413
454,28.09023
455,28.014
456,27.9518
457,27.8751
458,27.77987
459,27.76417
460,27.77037
461,27.7748
462,27.76633
463,27.75843
464,27.7565
465,27.75557
466,27.77053
467,27.8115
468,27.80963
469,27.76833
470,27.68603
471,27.4739
472,27.31257
473,27.34357
474,27.72813
475,28.13193
476,28.2984
477,28.2118
478,28.0158
479,27.8223
480,27.68397
481,27.57487
482,27.4787
483,27.43197
484,27.4176
485,27.42277
486,27.39763
487,27.37083
488,27.362
489,27.3391
490,27.32863
491,27.3494
492,27.36337
493,27.37877
494,27.3999
495,27.39763
496,27.40667
497,27.45223
498,27.48723
499,27.50567
500,27.50113
501,27.49653
502,27.4878
503,27.47307
504,27.44413
505,27.41327
506,27.384
507,27.33627
508,27.3009
509,27.2866
510,27.2435
511,27.2147
512,27.2063
513,27.19063
514,27.17513
515,27.1611
516,27.1546
517,27.12583
518,27.0814
519,27.0836
520,27.0717
521,27.05217
522,27.06107
523,27.06367
524,27.062
525,27.07
526,27.06447
527,27.05223
528,27.0437
529,27.02453
530,27.0133
531,27.03683
