wavelength,reflectance
350,13.6212
351,13.30077
352,13.0019
353,12.7528
354,12.5483
355,12.40967
356,12.36703
357,12.3262
358,12.31343
359,12.41303
360,12.48617
361,12.51033
362,12.49263
363,12.4248
364,12.3059
365,12.13093
366,11.92117
367,11.69233
368,11.51137
369,11.365
370,11.22687
371,11.1393
372,11.10683
373,11.10717
374,11.15103
375,11.2362
376,11.2844
377,11.30143
378,11.2884
379,11.24617
380,11.1854
381,11.12277
382,11.04123
383,10.93977
384,10.81357
385,10.71193
386,10.63973
387,10.57273
388,10.51873
389,10.48107
390,10.486
391,10.53123
392,10.6138
393,10.75197
394,10.90993
395,11.04103
396,11.15047
397,11.23123
398,11.27483
399,11.26983
400,11.21257
401,11.09923
402,10.98147
403,10.877
404,10.81093
405,10.76317
406,10.72523
407,10.69817
408,10.6915
409,10.7113
410,10.7475
411,10.80047
412,10.87027
413,10.94243
414,11.0142
415,11.0826
416,11.13913
417,11.18457
418,11.2225
419,11.25483
420,11.28477
421,11.3249
422,11.36363
423,11.39757
424,11.42683
425,11.4546
426,11.48227
427,11.5043
428,11.53357
429,11.57963
430,11.62523
431,11.66967
432,11.71153
433,11.74727
434,11.7825
435,11.82587
436,11.8519
437,11.8817
438,11.94487
439,11.9982
440,12.0488
441,12.12337
442,12.17193
443,12.21007
444,12.2868
445,12.3536
446,12.40783
447,12.4738
448,12.5305
449,12.57523
450,12.61953
451,12.64033
452,12.637
453,12.62827
454,12.62557
455,12.63503
456,12.65233
457,12.6577
458,12.6478
459,12.68177
460,12.71493
461,12.73373
462,12.78147
463,12.8323
464,12.8766
465,12.91737
466,12.9548
467,12.9896
468,13.0468
469,13.0994
470,13.1265
471,13.0819
472,13.0617
473,13.13813
474,13.21717
475,13.31017
476,13.42043
477,13.44857
478,13.43087
479,13.39233
480,13.3737
481,13.36517
482,13.36183
483,13.40213
484,13.4521
485,13.48693
486,13.5313
487,13.58033
488,13.63087
489,13.6725
490,13.71263
491,13.75703
492,13.81383
493,13.87593
494,13.9381
495,13.99077
496,14.0395
497,14.08843
498,14.148
499,14.21357
500,14.2814
501,14.34047
502,14.38647
503,14.41827
504,14.4493
505,14.47953
506,14.5095
507,14.5356
508,14.5672
509,14.6073
510,14.64537
511,14.67893
512,14.70787
513,14.73363
514,14.77433
515,14.82733
516,14.86183
517,14.89763
518,14.9387
519,14.98577
520,15.032
521,15.0788
522,15.1332
523,15.17927
524,15.22383
525,15.28793
526,15.3428
527,15.39213
528,15.4424
529,15.49037
530,15.5413
531,15.6028
532,15.6553
533,15.7003
534,15.73837
535,15.77337
536,15.81133
537,15.85857
538,15.93583
539,16.03047
540,16.12923
541,16.18367
542,16.227
543,16.26343
544,16.2797
545,16.3
546,16.3288
547,16.36733
548,16.4097
549,16.45367
550,16.49657
551,16.5362
552,16.57713
553,16.62363
554,16.66227
555,16.7009
556,16.74523
557,16.7939
558,16.8478
559,16.90633
560,16.96217
561,17.01543
562,17.06837
563,17.1289
564,17.186
565,17.23807
566,17.28463
567,17.33863
568,17.39353
569,17.4422
570,17.49007
571,17.5364
572,17.58093
573,17.6227
574,17.6574
575,17.68543
576,17.71263
577,17.7407
578,17.77013
579,17.80203
580,17.8201
581,17.83857
582,17.87173
583,17.90473
584,17.94103
585,17.9798
586,18.0069
587,18.02833
588,18.04703
589,18.0685
590,18.09483
591,18.118
592,18.1238
593,18.14933
594,18.17773
595,18.1974
596,18.2294
597,18.2511
598,18.26317
599,18.28787
600,18.31883
601,18.3557
602,18.39807
603,18.43037
604,18.4665
605,18.51513
606,18.53663
607,18.54893
608,18.56003
609,18.5764
610,18.5995
611,18.6262
612,18.65323
613,18.6781
614,18.70183
615,18.7256
616,18.75387
617,18.77303
618,18.78833
619,18.8167
620,18.8407
621,18.86063
622,18.878
623,18.8923
624,18.91593
625,18.9439
626,18.94693
627,18.97033
628,18.99147
629,18.988
630,19.01233
631,19.02293
632,19.01707
633,19.02473
634,19.04117
635,19.067
636,19.10307
637,19.11907
638,19.1343
639,19.1581
640,19.1779
641,19.18933
642,19.19353
643,19.1941
644,19.20707
645,19.22017
646,19.23223
647,19.2569
648,19.27843
649,19.3001
650,19.32577
651,19.34857
652,19.36903
653,19.38933
654,19.41617
655,19.43963
656,19.46993
657,19.51523
658,19.5372
659,19.55813
660,19.57903
661,19.59217
662,19.62653
663,19.65527
664,19.66743
665,19.69407
666,19.7139
667,19.73043
668,19.74877
669,19.7574
670,19.76297
671,19.77193
672,19.7973
673,19.81853
674,19.8352
675,19.84693
676,19.84993
677,19.86947
678,19.896
679,19.91747
680,19.93843
681,19.94543
682,19.94977
683,19.97387
684,19.99293
685,20.01983
686,20.05557
687,20.0881
688,20.1004
689,20.11533
690,20.1556
691,20.17247
692,20.19653
693,20.22053
694,20.2418
695,20.26147
696,20.28927
697,20.32263
698,20.35237
699,20.3758
700,20.39527
701,20.4153
702,20.44133
703,20.45913
704,20.49127
705,20.53193
706,20.55133
707,20.5683
708,20.6016
709,20.64203
710,20.63957
711,20.6472
712,20.67673
713,20.71657
714,20.72263
715,20.75207
716,20.77713
717,20.79367
718,20.82847
719,20.85667
720,20.88497
721,20.91307
722,20.92967
723,20.96243
724,20.98387
725,20.9949
726,21.03423
727,21.0632
728,21.0829
729,21.09767
730,21.11447
731,21.14853
732,21.17287
733,21.18413
734,21.19717
735,21.2077
736,21.2323
737,21.25547
738,21.25707
739,21.27427
740,21.29027
741,21.3031
742,21.31877
743,21.37857
744,21.4126
745,21.44157
746,21.47777
747,21.4793
748,21.49167
749,21.50013
750,21.50223
751,21.5097
752,21.5492
753,21.56517
754,21.56507
755,21.57753
756,21.59843
757,21.6219
758,21.636
759,21.6397
760,21.66063
761,21.6796
762,21.6984
763,21.7116
764,21.71713
