wavelength,reflectance
350,8.46712
351,8.34927
352,8.22745
353,8.10468
354,8.01538
355,7.9426
356,7.87242
357,7.8019
358,7.75365
359,7.784
360,7.81425
361,7.83237
362,7.84338
363,7.84517
364,7.83628
365,7.80015
366,7.75272
367,7.7093
368,7.65068
369,7.59317
370,7.56728
371,7.53713
372,7.50867
373,7.53162
374,7.56887
375,7.60862
376,7.62803
377,7.64
378,7.6536
379,7.6588
380,7.65393
381,7.63768
382,7.60678
383,7.57297
384,7.5657
385,7.55498
386,7.53462
387,7.49023
388,7.45222
389,7.43425
390,7.4453
391,7.46358
392,7.47185
393,7.49128
394,7.52482
395,7.5768
396,7.63308
397,7.68102
398,7.69543
399,7.68883
400,7.66762
401,7.6597
402,7.62602
403,7.56668
404,7.52147
405,7.4998
406,7.505
407,7.49782
408,7.48747
409,7.47855
410,7.48592
411,7.503
412,7.52105
413,7.53827
414,7.55485
415,7.57048
416,7.58975
417,7.61333
418,7.64185
419,7.6728
420,7.7049
421,7.73487
422,7.76257
423,7.7868
424,7.79808
425,7.81003
426,7.82742
427,7.83578
428,7.83375
429,7.81975
430,7.8133
431,7.80398
432,7.78448
433,7.77768
434,7.77737
435,7.77478
436,7.78558
437,7.80828
438,7.8406
439,7.87758
440,7.91755
441,7.9592
442,7.98875
443,8.00882
444,8.03003
445,8.04213
446,8.04648
447,8.05513
448,8.07078
449,8.09582
450,8.1397
451,8.1701
452,8.17613
453,8.1282
454,8.09325
455,8.09705
456,8.09605
457,8.08033
458,8.05058
459,8.07925
460,8.0977
461,8.08468
462,8.1134
463,8.13592
464,8.13623
465,8.15107
466,8.17092
467,8.19018
468,8.20128
469,8.20522
470,8.20205
471,8.17618
472,8.15887
473,8.17457
474,8.2504
475,8.33487
476,8.388
477,8.3781
478,8.34287
479,8.3103
480,8.2807
481,8.26077
482,8.25607
483,8.263
484,8.27302
485,8.27975
486,8.31422
487,8.33905
488,8.3271
489,8.3392
490,8.36178
491,8.38653
492,8.40367
493,8.42123
494,8.44497
495,8.46708
496,8.49197
497,8.52258
498,8.55092
499,8.57658
500,8.59818
501,8.60485
502,8.61275
503,8.6282
504,8.6451
505,8.65698
506,8.66173
507,8.67187
508,8.68127
509,8.68778
510,8.69193
511,8.70085
512,8.71472
513,8.72488
514,8.73692
515,8.75128
516,8.76583
517,8.77692
518,8.78553
519,8.80083
520,8.81343
521,8.82718
522,8.85555
523,8.875
524,8.8907
525,8.92125
526,8.9432
527,8.96037
528,8.97875
529,9.00167
530,9.02323
531,9.03535
532,9.04998
533,9.06383
534,9.07468
535,9.08558
536,9.10183
537,9.128
538,9.17755
539,9.23625
540,9.29143
541,9.3053
542,9.31837
543,9.33465
544,9.33037
545,9.33655
546,9.3508
547,9.35542
548,9.37327
549,9.39715
550,9.40973
551,9.42768
552,9.4472
553,9.46408
554,9.48177
555,9.50253
556,9.52792
557,9.54862
558,9.57515
559,9.61077
560,9.6465
561,9.67737
562,9.70413
563,9.73478
564,9.76235
565,9.78685
566,9.80968
567,9.83335
568,9.85958
569,9.88943
570,9.90797
571,9.92625
572,9.94973
573,9.96988
574,9.99148
575,10.01262
576,10.01718
577,10.0348
578,10.0594
579,10.06643
580,10.07993
581,10.0945
582,10.10372
583,10.12252
584,10.1428
585,10.15867
586,10.16428
587,10.16915
588,10.17578
589,10.18468
590,10.19442
591,10.2024
592,10.20458
593,10.20918
594,10.21593
595,10.22497
596,10.23913
597,10.25012
598,10.25595
599,10.25812
600,10.27013
601,10.28777
602,10.30068
603,10.32117
604,10.3389
605,10.34615
606,10.34792
607,10.3493
608,10.35265
609,10.35937
610,10.36067
611,10.36585
612,10.3887
613,10.39145
614,10.39442
615,10.4072
616,10.41648
617,10.41958
618,10.42007
619,10.42665
620,10.43753
621,10.44483
622,10.44185
623,10.4466
624,10.45152
625,10.45403
626,10.45337
627,10.4503
628,10.44638
629,10.44307
630,10.4401
631,10.43117
632,10.4189
633,10.41673
634,10.41917
635,10.42642
636,10.43935
637,10.44367
638,10.4455
639,10.44883
640,10.456
641,10.45702
642,10.45197
643,10.44402
644,10.44242
645,10.4426
646,10.44327
647,10.44775
648,10.44942
649,10.45153
650,10.45762
651,10.46425
652,10.46905
653,10.47272
654,10.48078
655,10.48083
656,10.48718
657,10.51232
658,10.51565
659,10.51655
660,10.51565
661,10.50583
662,10.52258
663,10.5352
664,10.53058
665,10.54045
666,10.54492
667,10.5503
668,10.56295
669,10.55852
670,10.55705
671,10.56207
672,10.56408
673,10.57193
674,10.5771
675,10.57548
676,10.57305
677,10.5746
678,10.57997
679,10.58768
680,10.58767
681,10.5841
682,10.5841
683,10.59717
684,10.61142
685,10.62358
686,10.6357
687,10.65525
688,10.6694
689,10.67797
690,10.69273
691,10.70033
692,10.71577
693,10.72858
694,10.7306
695,10.74512
696,10.76168
697,10.77885
698,10.79232
699,10.80955
700,10.8171
701,10.82033
702,10.83285
703,10.84013
704,10.85192
705,10.86762
706,10.87863
707,10.87715
708,10.88495
709,10.9017
710,10.89763
711,10.90667
712,10.91937
713,10.93003
714,10.93695
715,10.94242
716,10.94752
717,10.95318
718,10.96115
719,10.96348
720,10.97193
721,10.9889
722,11.00683
723,11.02365
724,11.02928
725,11.0291
726,11.0505
727,11.05957
728,11.06477
729,11.07263
730,11.08658
731,11.09532
732,11.09637
733,11.09575
734,11.10767
735,11.09567
736,11.09997
737,11.10985
738,11.10083
739,11.0948
740,11.09533
741,11.09788
742,11.09765
743,11.11883
744,11.13063
745,11.1449
746,11.16495
747,11.1566
748,11.1639
749,11.17078
750,11.16963
751,11.16322
752,11.17205
753,11.18085
754,11.18275
755,11.17722
756,11.18728
757,11.18623
758,11.18377
759,11.188
760,11.19023
761,11.19653
762,11.19482
763,11.19267
764,11.20287
765,11.21215
766,11.21698
767,11.22177
768,11.22888
769,11.23212
770,11.23008
771,11.22585
772,11.22853
773,11.24332
774,11.22932
775,11.2424
776,11.25522
777,11.25702
778,11.25707
779,11.26615
780,11.27985
781,11.28217
782,11.27188
783,11.28712
784,11.2841
785,11.28245
786,11.2858
787,11.2891
788,11.27845
789,11.27522
790,11.26087
791,11.25958
792,11.299
793,11.3183
794,11.33755
795,11.3491
796,11.35755
797,11.36993
798,11.37635
799,11.3615
800,11.36148
801,11.36805
802,11.36147
803,11.38248
804,11.38575
805,11.3815
806,11.3747
807,11.36627
808,11.35915
809,11.35423
810,11.36387
811,11.36757
812,11.3578
813,11.36253
814,11.37222
815,11.36857
816,11.36537
817,11.36502
818,11.35812
819,11.36298
820,11.36488
821,11.3669
822,11.37468
823,11.3827
824,11.36905
825,11.3829
826,11.37218
827,11.36485
828,11.36117
829,11.3531
830,11.35175
831,11.34007
832,11.33902
833,11.34427
834,11.3487
835,11.35027
836,11.34753
837,11.3589
838,11.35563
839,11.34823
840,11.34955
841,11.35707
842,11.35658
843,11.35618
844,11.3522
845,11.3463
846,11.34202
847,11.33932
848,11.33133
849,11.32087
850,11.29957
851,11.29692
852,11.2997
853,11.30292
854,11.31915
855,11.34377
856,11.33708
857,11.34797
858,11.3486
859,11.34122
860,11.32847
861,11.31137
862,11.31672
863,11.33357
864,11.33583
865,11.32898
866,11.31937
867,11.31572
868,11.31842
869,11.31448
870,11.32953
871,11.32015
872,11.32798
873,11.32897
874,11.3337
875,11.33722
876,11.32093
877,11.33612
878,11.33585
879,11.3424
880,11.3397
881,11.33128
882,11.3461
883,11.35052
884,11.32578
885,11.34163
886,11.32717
887,11.3281
888,11.33572
889,11.36857
890,11.38615
891,11.3903
892,11.37962
893,11.36768
894,11.3842
895,11.37215
896,11.37757
897,11.36973
898,11.3597
899,11.35685
900,11.3739
901,11.37592
902,11.37532
903,11.37437
904,11.35695
905,11.35192
906,11.3664
907,11.39213
908,11.37615
909,11.35813
910,11.36422
911,11.37337
912,11.37163
913,11.37775
914,11.3869
915,11.38208
916,11.37918
917,11.3841
918,11.36905
919,11.39125
920,11.40292
921,11.37805
922,11.36567
923,11.35422
924,11.37105
925,11.36335
926,11.35372
927,11.36603
928,11.38145
929,11.39347
930,11.414
931,11.41958
932,11.4331
933,11.47217
934,11.48988
935,11.48713
936,11.49453
937,11.4976
938,11.48883
939,11.5138
940,11.5125
941,11.48617
942,11.5373
943,11.50725
944,11.51235
945,11.52342
946,11.53287
947,11.51998
948,11.55142
949,11.5355
950,11.53282
951,11.53272
952,11.56897
953,11.55967
954,11.53448
955,11.59372
956,11.599
957,11.62307
958,11.61813
959,11.59682
960,11.5921
961,11.64085
962,11.60098
963,11.59957
964,11.6324
965,11.64932
966,11.64855
967,11.59043
968,11.60535
969,11.5898
970,11.5634
971,11.57898
972,11.56165
973,11.61558
974,11.57055
975,11.56212
976,11.57088
977,11.61853
978,11.62282
979,11.57085
980,11.50958
981,11.56645
982,11.4653
983,11.27687
984,11.38793
985,11.33585
986,11.29882
987,11.2739
988,11.25047
989,11.23635
990,11.23893
991,11.22067
992,11.19345
993,11.20367
994,11.1933
995,11.20788
996,11.22983
997,11.2474
998,11.25995
999,11.26927
1000,11.27698
1001,11.28412
1002,11.2885
1003,11.2921
1004,11.29762
1005,11.30772
1006,11.32288
1007,11.33972
1008,11.35457
1009,11.36462
1010,11.37157
1011,11.37645
1012,11.38005
1013,11.38298
1014,11.38458
1015,11.38502
1016,11.38468
1017,11.38317
1018,11.37975
1019,11.37638
1020,11.37517
1021,11.37765
1022,11.38283
1023,11.38927
1024,11.39553
1025,11.40145
1026,11.40797
1027,11.4139
1028,11.41787
1029,11.41855
1030,11.41668
1031,11.4144
1032,11.41388
1033,11.41605
1034,11.41968
1035,11.42363
1036,11.42677
1037,11.42867
1038,11.42993
1039,11.43113
1040,11.43275
1041,11.4347
1042,11.43683
1043,11.43932
1044,11.44238
1045,11.44687
1046,11.45198
1047,11.45622
1048,11.4581
1049,11.45715
1050,11.45447
1051,11.45127
1052,11.4485
1053,11.4446
1054,11.44063
1055,11.43872
1056,11.44097
1057,11.4479
1058,11.45727
1059,11.46648
1060,11.47353
1061,11.47992
1062,11.48548
1063,11.48963
1064,11.49165
1065,11.49127
1066,11.48988
1067,11.4888
1068,11.48905
1069,11.48988
1070,11.4912
1071,11.49297
1072,11.49533
1073,11.49825
1074,11.50158
1075,11.50517
1076,11.50908
1077,11.51358
1078,11.51803
1079,11.5218
1080,11.52463
1081,11.52692
1082,11.52863
1083,11.52987
1084,11.53068
1085,11.53103
1086,11.53073
1087,11.52953
1088,11.52677
1089,11.52293
1090,11.51942
1091,11.51762
1092,11.51732
1093,11.51807
1094,11.51978
1095,11.52252
1096,11.52725
1097,11.533
1098,11.5379
1099,11.54045
1100,11.54073
1101,11.53982
1102,11.5387
1103,11.53805
1104,11.53747
1105,11.53685
1106,11.53635
1107,11.53613
1108,11.53607
1109,11.53615
1110,11.53633
1111,11.53653
1112,11.53677
1113,11.53713
1114,11.53767
1115,11.53825
1116,11.53888
1117,11.53983
1118,11.54148
1119,11.5442
1120,11.54787
1121,11.55167
1122,11.5549
1123,11.55705
1124,11.55868
1125,11.56032
1126,11.56263
1127,11.56622
1128,11.57047
1129,11.57415
1130,11.57615
1131,11.57587
1132,11.57427
1133,11.57282
1134,11.57263
1135,11.57317
1136,11.57437
1137,11.57655
1138,11.58023
1139,11.58608
1140,11.59283
1141,11.59913
1142,11.60378
1143,11.6076
1144,11.61058
1145,11.61252
1146,11.61298
1147,11.61197
1148,11.61
1149,11.60785
1150,11.60555
1151,11.60267
1152,11.59983
1153,11.59763
1154,11.59625
1155,11.59525
1156,11.59495
1157,11.59565
1158,11.5976
1159,11.60063
1160,11.6041
1161,11.60733
1162,11.61058
1163,11.61392
1164,11.61697
1165,11.61923
1166,11.62045
1167,11.62118
1168,11.6221
1169,11.6239
1170,11.6263
1171,11.62915
1172,11.63222
1173,11.6357
1174,11.64043
1175,11.64508
1176,11.64782
1177,11.64678
1178,11.64212
1179,11.63607
1180,11.63115
1181,11.62818
1182,11.62562
1183,11.6246
1184,11.62638
1185,11.6323
1186,11.64162
1187,11.65213
1188,11.66158
1189,11.67087
1190,11.68033
1191,11.68803
1192,11.6921
1193,11.69155
1194,11.6881
1195,11.68395
1196,11.68107
1197,11.6781
1198,11.67533
1199,11.67423
1200,11.67633
1201,11.68248
1202,11.6899
1203,11.69543
1204,11.69613
1205,11.6925
1206,11.68767
1207,11.68493
1208,11.6863
1209,11.69013
1210,11.69517
1211,11.7003
1212,11.70618
1213,11.71345
1214,11.71915
1215,11.72037
1216,11.71465
1217,11.7047
1218,11.69503
1219,11.68993
1220,11.68927
1221,11.69115
1222,11.69482
1223,11.69972
1224,11.70745
1225,11.71637
1226,11.72418
1227,11.72875
1228,11.73048
1229,11.7309
1230,11.73152
1231,11.73357
1232,11.73663
1233,11.73932
1234,11.74025
1235,11.73798
1236,11.73328
1237,11.7285
1238,11.72605
1239,11.72653
1240,11.72875
1241,11.73228
1242,11.73667
1243,11.74358
1244,11.75175
1245,11.75842
1246,11.76093
1247,11.75855
1248,11.75358
1249,11.74862
1250,11.74565
1251,11.74303
1252,11.74127
1253,11.74135
1254,11.74457
1255,11.7512
1256,11.75843
1257,11.76333
1258,11.76453
1259,11.76362
1260,11.76145
1261,11.75897
1262,11.75497
1263,11.74962
1264,11.74562
1265,11.7458
1266,11.75147
1267,11.76023
1268,11.7689
1269,11.77467
1270,11.7788
1271,11.78173
1272,11.7833
1273,11.78282
1274,11.7795
1275,11.7756
1276,11.77345
1277,11.77475
1278,11.77837
1279,11.78285
1280,11.78685
1281,11.78998
1282,11.79293
1283,11.79552
1284,11.79755
1285,11.79837
1286,11.79848
1287,11.7991
1288,11.80128
1289,11.80572
1290,11.81103
1291,11.81567
1292,11.81813
1293,11.81843
1294,11.81803
1295,11.8184
1296,11.82055
1297,11.8237
1298,11.8276
1299,11.83197
1300,11.83765
1301,11.84467
1302,11.8508
1303,11.8539
1304,11.853
1305,11.84953
1306,11.84522
1307,11.84155
1308,11.83767
1309,11.83362
1310,11.8303
1311,11.82823
1312,11.82662
1313,11.8261
1314,11.82773
1315,11.83268
1316,11.84093
1317,11.85043
1318,11.85905
1319,11.86653
1320,11.8739
1321,11.88003
1322,11.8837
1323,11.88348
1324,11.88087
1325,11.87833
1326,11.87837
1327,11.8808
1328,11.88438
1329,11.88825
1330,11.89167
1331,11.89562
1332,11.89933
1333,11.90168
1334,11.90205
1335,11.90115
1336,11.89852
1337,11.89383
1338,11.88588
1339,11.87537
1340,11.8646
1341,11.85587
1342,11.84893
1343,11.84303
1344,11.83805
1345,11.83413
1346,11.83265
1347,11.83175
1348,11.82873
1349,11.82142
1350,11.81053
1351,11.79782
1352,11.78493
1353,11.77202
1354,11.75788
1355,11.74482
1356,11.73523
1357,11.72973
1358,11.72703
1359,11.72608
1360,11.7261
1361,11.72793
1362,11.73113
1363,11.73432
1364,11.7363
1365,11.73712
1366,11.73797
1367,11.74022
1368,11.74543
1369,11.75332
1370,11.76085
1371,11.76497
1372,11.76485
