wavelength,reflectance
350,11.15445
351,10.86148
352,10.59223
353,10.3727
354,10.19605
355,10.06898
356,9.99795
357,9.9853
358,10.03378
359,10.15515
360,10.25868
361,10.32275
362,10.3201
363,10.2543
364,10.13203
365,10.00743
366,9.84753
367,9.61468
368,9.42103
369,9.25633
370,9.10198
371,8.9681
372,8.86648
373,8.833
374,8.8481
375,8.90408
376,8.95018
377,8.991
378,9.0274
379,9.03245
380,8.99818
381,8.91238
382,8.83583
383,8.75893
384,8.6475
385,8.54225
386,8.4496
387,8.3644
388,8.30723
389,8.28535
390,8.28963
391,8.30868
392,8.33118
393,8.40368
394,8.5108
395,8.6359
396,8.7247
397,8.7747
398,8.79613
399,8.77748
400,8.7183
401,8.63083
402,8.51085
403,8.37203
404,8.28295
405,8.23193
406,8.2138
407,8.19893
408,8.19063
409,8.18863
410,8.21055
411,8.24603
412,8.28115
413,8.31755
414,8.34928
415,8.36433
416,8.38168
417,8.3964
418,8.39045
419,8.39145
420,8.40385
421,8.42595
422,8.44753
423,8.46443
424,8.47313
425,8.47838
426,8.4822
427,8.4821
428,8.4864
429,8.50095
430,8.49343
431,8.48118
432,8.47648
433,8.46218
434,8.44925
435,8.45228
436,8.45988
437,8.47958
438,8.52268
439,8.56225
440,8.5991
441,8.63998
442,8.67668
443,8.7091
444,8.73805
445,8.77153
446,8.80773
447,8.83275
448,8.84973
449,8.86045
450,8.86888
451,8.8847
452,8.90618
453,8.91253
454,8.89895
455,8.86923
456,8.88978
457,8.90505
458,8.89858
459,8.92785
460,8.96465
461,8.99793
462,9.02508
463,9.04953
464,9.0733
465,9.1028
466,9.13998
467,9.18648
468,9.23653
469,9.28135
470,9.31385
471,9.34568
472,9.3597
473,9.34408
474,9.37153
475,9.41423
476,9.45313
477,9.47605
478,9.479
479,9.45888
480,9.45463
481,9.4562
482,9.45758
483,9.46365
484,9.48298
485,9.52205
486,9.5534
487,9.5798
488,9.60245
489,9.63293
490,9.66408
491,9.6908
492,9.7281
493,9.77288
494,9.8227
495,9.84485
496,9.86658
497,9.90753
498,9.93513
499,9.97133
500,10.02968
501,10.05228
502,10.0702
503,10.09415
504,10.1108
505,10.13233
506,10.161
507,10.168
508,10.17823
509,10.19978
510,10.2126
511,10.23025
512,10.25385
513,10.2714
514,10.29455
515,10.32275
516,10.34313
517,10.3602
518,10.37875
519,10.4176
520,10.44975
521,10.4786
522,10.5223
523,10.55905
524,10.589
525,10.61633
526,10.65475
527,10.6952
528,10.72498
529,10.7583
530,10.79423
531,10.83148
532,10.87835
533,10.91138
534,10.91333
535,10.94158
536,10.96973
537,10.98605
538,11.0096
539,11.05638
540,11.12633
541,11.16473
542,11.19368
543,11.2161
544,11.22548
545,11.24203
546,11.26525
547,11.28673
548,11.30945
549,11.3351
550,11.36628
551,11.3927
552,11.4159
553,11.43795
554,11.45578
555,11.48285
556,11.5285
557,11.56023
558,11.5925
559,11.63093
560,11.67603
561,11.72135
562,11.76583
563,11.81073
564,11.85883
565,11.90263
566,11.92833
567,11.97173
568,12.025
569,12.0782
570,12.1172
571,12.15208
572,12.18925
573,12.2358
574,12.271
575,12.29398
576,12.32708
577,12.3624
578,12.3972
579,12.4277
580,12.4584
581,12.48885
582,12.51853
583,12.55565
584,12.59235
585,12.62465
586,12.6567
587,12.68998
588,12.72218
589,12.74408
590,12.77448
591,12.80895
592,12.83583
593,12.8636
594,12.8977
595,12.9422
596,12.9835
597,13.01718
598,13.04638
599,13.0854
600,13.12293
601,13.15818
602,13.19168
603,13.2357
604,13.2844
605,13.33298
606,13.3681
607,13.39593
608,13.42313
609,13.46463
610,13.4932
611,13.51863
612,13.55513
613,13.5958
614,13.63538
615,13.67143
616,13.70988
617,13.74228
618,13.77015
619,13.7984
620,13.83263
621,13.87088
622,13.91
623,13.9411
624,13.97565
625,14.01205
626,14.0327
627,14.06613
628,14.10528
629,14.14125
630,14.17343
631,14.19395
632,14.20653
633,14.22865
634,14.25948
635,14.29873
636,14.34508
637,14.3814
638,14.41665
639,14.4545
640,14.485
641,14.51423
642,14.54075
643,14.56008
644,14.59128
645,14.62493
646,14.65725
647,14.69118
