wavelength,reflectance
350,16.41847
351,15.83883
352,15.29767
353,14.8257
354,14.475
355,14.23553
356,14.1086
357,14.03807
358,14.03157
359,14.12557
360,14.1862
361,14.1886
362,14.13793
363,13.9827
364,13.7054
365,13.30967
366,12.8701
367,12.46167
368,12.0838
369,11.7629
370,11.5522
371,11.388
372,11.2701
373,11.23037
374,11.2498
375,11.31607
376,11.31367
377,11.2532
378,11.13847
379,10.98067
380,10.78543
381,10.56533
382,10.29073
383,9.99663
384,9.76943
385,9.5553
386,9.34937
387,9.15463
388,9.01567
389,8.94867
390,8.92133
391,8.95917
392,9.0757
393,9.28543
394,9.53797
395,9.77053
396,9.94347
397,10.02933
398,9.9872
399,9.84237
400,9.5957
401,9.2383
402,8.87963
403,8.55987
404,8.3412
405,8.21217
406,8.16153
407,8.11437
408,8.0877
409,8.08797
410,8.11757
411,8.16877
412,8.23127
413,8.28847
414,8.3455
415,8.4143
416,8.4696
417,8.5055
418,8.51427
419,8.5178
420,8.51643
421,8.4993
422,8.45643
423,8.3869
424,8.3333
425,8.2692
426,8.18913
427,8.15087
428,8.14423
429,8.16313
430,8.15667
431,8.1518
432,8.1665
433,8.2102
434,8.2699
435,8.3287
436,8.37457
437,8.4198
438,8.48127
439,8.54143
440,8.59207
441,8.61813
442,8.62023
443,8.61537
444,8.6419
445,8.67217
446,8.70317
447,8.73853
448,8.77713
449,8.81547
450,8.84717
451,8.83333
452,8.78023
453,8.77147
454,8.76427
455,8.74667
456,8.74953
457,8.76127
458,8.77913
459,8.81677
460,8.85337
461,8.88147
462,8.91763
463,8.9488
464,8.97243
465,9.0328
466,9.0868
467,9.1031
468,9.1198
469,9.137
470,9.15573
471,9.15173
472,9.15823
473,9.20117
474,9.3221
475,9.42133
476,9.42253
477,9.35233
478,9.28113
479,9.26413
480,9.24507
481,9.23507
482,9.24113
483,9.26767
484,9.31157
485,9.3699
486,9.40157
487,9.435
488,9.49
489,9.53067
490,9.56673
491,9.60487
492,9.66387
493,9.72627
494,9.77897
495,9.82067
496,9.86703
497,9.9298
498,9.9788
499,10.02193
500,10.06427
501,10.112
502,10.15437
503,10.1878
504,10.22247
505,10.2607
506,10.30223
507,10.32857
508,10.36683
509,10.42457
510,10.46033
511,10.50203
512,10.55287
513,10.58963
514,10.6369
515,10.69697
516,10.7579
517,10.81273
518,10.8617
519,10.91187
520,10.98153
521,11.06353
522,11.13657
523,11.2102
524,11.28883
525,11.38283
526,11.4625
527,11.5341
528,11.60707
529,11.68607
530,11.77307
531,11.87137
532,11.9589
533,12.0397
534,12.11677
535,12.21067
536,12.31663
537,12.43283
538,12.56967
539,12.72427
540,12.8853
541,12.99033
542,13.09087
543,13.1958
544,13.2941
545,13.39483
546,13.50463
547,13.63577
548,13.77433
549,13.91673
550,14.05887
551,14.21027
552,14.3645
553,14.51513
554,14.6717
555,14.84097
556,15.02777
557,15.1977
558,15.38353
559,15.59413
560,15.79503
561,15.9947
562,16.19463
563,16.3942
564,16.60567
565,16.81547
566,16.99613
567,17.21003
568,17.4343
569,17.64423
570,17.8625
571,18.0726
572,18.26887
573,18.48233
574,18.68957
575,18.8866
576,19.08523
577,19.28307
578,19.48307
579,19.69303
580,19.90027
581,20.09977
582,20.2887
583,20.49647
584,20.70907
585,20.91347
586,21.07977
587,21.2642
588,21.46463
589,21.6296
590,21.80623
591,21.9865
592,22.1481
593,22.3162
594,22.4857
595,22.6545
596,22.85163
597,23.02467
598,23.16973
599,23.32533
600,23.49707
601,23.683
602,23.87713
603,24.0445
604,24.20023
605,24.35427
606,24.49873
607,24.6381
608,24.7717
609,24.89207
610,25.01467
611,25.1486
612,25.30623
613,25.43977
614,25.56847
615,25.70263
616,25.83933
617,25.9517
618,26.0546
619,26.19203
620,26.31693
621,26.42513
622,26.5177
623,26.6266
624,26.7367
625,26.83937
626,26.92137
627,27.0101
628,27.09743
629,27.17433
630,27.25803
631,27.31993
632,27.36653
633,27.44213
634,27.53333
635,27.64207
636,27.77277
637,27.86983
638,27.95643
639,28.0456
640,28.1332
641,28.2155
642,28.2905
643,28.35557
644,28.44097
645,28.52293
646,28.59837
647,28.69117
648,28.76557
649,28.84127
650,28.93787
651,29.0177
652,29.09923
653,29.18693
654,29.2773
655,29.3635
656,29.45983
657,29.5773
658,29.65683
659,29.73903
660,29.82157
661,29.88353
662,29.9921
663,30.09127
664,30.1578
665,30.25193
666,30.33913
667,30.42533
668,30.51763
669,30.5778
670,30.64353
671,30.724
672,30.8088
673,30.89897
674,30.97943
675,31.04287
676,31.09623
677,31.1683
678,31.25087
679,31.33227
680,31.40373
681,31.4575
682,31.51373
683,31.60683
684,31.70297
685,31.80433
686,31.9093
687,32.0133
688,32.10433
689,32.1933
690,32.2835
691,32.34
692,32.38623
693,32.43853
694,32.50807
695,32.56883
696,32.64867
697,32.74457
698,32.84303
699,32.9248
700,32.99547
701,33.06267
702,33.13613
703,33.21513
704,33.3063
705,33.39867
706,33.4642
707,33.53123
708,33.61977
709,33.717
710,33.76153
711,33.8105
712,33.89633
713,34.00633
714,34.06957
715,34.1268
716,34.1944
717,34.27233
718,34.34143
719,34.41723
720,34.49713
721,34.5789
722,34.6603
723,34.76547
724,34.83787
725,34.88117
726,34.97813
727,35.0422
728,35.10133
729,35.1649
730,35.2215
731,35.28373
732,35.33447
733,35.37323
734,35.41247
735,35.41253
736,35.4556
737,35.51587
738,35.53677
739,35.55007
740,35.59167
741,35.6408
742,35.67023
743,35.7666
744,35.82907
745,35.88723
746,35.95337
747,35.94797
748,35.97527
749,35.98973
750,35.987
751,36.00657
752,36.03817
753,36.06453
754,36.07357
755,36.0658
756,36.11127
757,36.13207
758,36.13333
759,36.13397
760,36.15803
761,36.17243
762,36.1874
763,36.20087
764,36.20843
765,36.23513
766,36.27187
767,36.28807
768,36.27853
769,36.30787
770,36.30223
771,36.29153
772,36.29947
773,36.33353
774,36.29953
775,36.3221
776,36.33607
777,36.32963
778,36.3499
779,36.34833
780,36.3596
781,36.37057
782,36.36727
783,36.3549
784,36.36077
785,36.38297
786,36.38923
787,36.3491
788,36.31737
789,36.3126
790,36.27173
791,36.25717
792,36.3528
793,36.4295
794,36.4628
795,36.4575
796,36.45327
797,36.48063
798,36.4753
799,36.4213
800,36.4114
801,36.42873
802,36.41643
803,36.41377
804,36.41093
805,36.41853
806,36.41153
807,36.3705
808,36.31853
809,36.30513
810,36.31193
811,36.2905
812,36.2391
813,36.24533
814,36.25523
815,36.2482
816,36.22583
817,36.19293
818,36.1614
819,36.18177
820,36.16047
821,36.1278
822,36.11853
823,36.13237
824,36.108
825,36.10777
826,36.09403
827,36.0722
828,36.03427
829,35.99923
830,36.03383
831,35.9791
832,35.9588
833,35.9385
834,35.9229
835,35.96
836,35.95657
837,35.99377
838,35.9653
839,35.95213
840,35.955
841,35.94093
842,35.95407
843,35.93407
844,35.91847
845,35.9248
846,35.92163
847,35.88367
848,35.8457
849,35.839
850,35.8053
851,35.77903
852,35.7812
853,35.81377
854,35.85347
855,35.86023
856,35.85763
857,35.88647
858,35.9151
859,35.91313
860,35.8794
861,35.8545
862,35.8995
863,35.89153
864,35.9084
865,35.92883
866,35.89153
867,35.85803
868,35.89907
869,35.9049
870,35.91723
871,35.90277
872,35.92413
873,35.93937
874,35.98593
875,36.0381
876,36.012
877,35.99783
878,36.00003
879,36.08857
880,36.10033
881,36.1111
882,36.15437
883,36.17323
884,36.14503
885,36.15743
886,36.17033
887,36.1948
888,36.25243
889,36.35407
890,36.39043
891,36.42457
892,36.43033
893,36.41807
894,36.53663
895,36.5407
896,36.5098
897,36.579
898,36.5356
899,36.59067
900,36.61437
901,36.6568
902,36.70873
903,36.70977
904,36.6713
905,36.6693
906,36.789
907,36.88753
908,36.88073
909,36.84923
910,36.92327
911,36.97603
912,37.01283
913,37.03263
914,37.03883
915,37.1047
916,37.17687
917,37.1673
918,37.22817
919,37.24363
920,37.35417
921,37.3156
922,37.3146
923,37.41227
924,37.44843
925,37.47013
926,37.5368
927,37.62753
928,37.7111
929,37.77703
930,37.8588
931,37.93923
932,38.03467
933,38.1351
934,38.2257
935,38.32467
936,38.35563
937,38.4076
938,38.44123
939,38.53067
940,38.57347
941,38.62713
942,38.72913
943,38.7292
944,38.80943
945,38.7862
946,38.90777
947,38.92577
948,38.957
949,39.0075
950,39.0759
951,39.0988
952,39.21463
953,39.32537
954,39.2457
955,39.42393
956,39.47793
957,39.59967
958,39.71277
959,39.56843
960,39.68497
961,39.86667
962,39.79853
963,39.96867
964,39.94977
965,39.92417
966,40.1698
967,40.32953
968,40.22123
969,40.19043
970,40.34733
971,40.3495
972,40.46417
973,40.5894
974,40.6704
975,40.65257
976,40.58427
977,40.76357
978,40.75117
979,40.8294
980,40.77183
981,40.54103
982,40.62253
983,40.4444
984,40.6888
985,40.50733
986,40.46903
987,40.4572
988,40.42843
989,40.48933
990,40.55123
991,40.55793
992,40.628
993,40.7654
994,40.80137
995,40.88123
996,41.00467
997,41.11227
998,41.20197
999,41.28177
1000,41.3601
1001,41.44397
1002,41.52963
1003,41.61547
1004,41.70077
1005,41.78583
1006,41.87367
1007,41.95973
1008,42.0382
1009,42.1035
1010,42.15597
1011,42.20237
1012,42.24967
1013,42.3033
1014,42.3598
1015,42.4173
1016,42.47447
1017,42.53017
1018,42.58507
1019,42.63983
1020,42.69523
1021,42.75153
1022,42.80827
1023,42.86567
1024,42.92393
1025,42.98407
1026,43.04627
1027,43.10807
1028,43.1667
1029,43.22027
1030,43.27023
1031,43.3191
1032,43.36933
1033,43.42113
1034,43.4734
1035,43.52667
1036,43.5815
1037,43.63817
1038,43.6964
1039,43.75573
1040,43.81577
1041,43.87723
1042,43.93983
1043,44.00217
1044,44.063
1045,44.1234
1046,44.1831
1047,44.24073
