wavelength,reflectance
350,23.82303
351,23.61543
352,23.44067
353,23.301
354,23.17743
355,23.081
356,23.0223
357,22.9959
358,22.9759
359,22.8967
360,22.84277
361,22.82077
362,22.79857
363,22.75053
364,22.66533
365,22.5612
366,22.45473
367,22.36447
368,22.28787
369,22.2236
370,22.17063
371,22.12663
372,22.09863
373,22.11353
374,22.1625
375,22.23903
376,22.25317
377,22.26937
378,22.33353
379,22.3537
380,22.3424
381,22.31557
382,22.2826
383,22.2489
384,22.22767
385,22.19493
386,22.1485
387,22.09083
388,22.05863
389,22.0682
390,22.127
391,22.19823
392,22.25113
393,22.3755
394,22.53207
395,22.67147
396,22.78147
397,22.85653
398,22.89087
399,22.89747
400,22.87397
401,22.80543
402,22.70467
403,22.59093
404,22.5479
405,22.54427
406,22.5661
407,22.5742
408,22.5885
409,22.6217
410,22.67463
411,22.73407
412,22.7817
413,22.8293
414,22.86983
415,22.88773
416,22.9054
417,22.9359
418,23.00177
419,23.08833
420,23.18723
421,23.27283
422,23.34193
423,23.3909
424,23.42183
425,23.43177
426,23.42453
427,23.4646
428,23.522
429,23.57563
430,23.5877
431,23.6021
432,23.65053
433,23.72707
434,23.8164
435,23.8973
436,23.97843
437,24.04927
438,24.09557
439,24.13803
440,24.1809
441,24.23133
442,24.28607
443,24.34123
444,24.3901
445,24.42753
446,24.4597
447,24.52053
448,24.5819
449,24.63573
450,24.679
451,24.68543
452,24.66093
453,24.67013
454,24.6812
455,24.68413
456,24.68853
457,24.69887
458,24.71663
459,24.73017
460,24.75063
461,24.78263
462,24.8311
463,24.8605
464,24.85927
465,24.89127
466,24.91987
467,24.91983
468,24.90893
469,24.91013
470,24.94123
471,24.93987
472,24.97023
473,25.07827
474,25.1608
475,25.20077
476,25.18153
477,25.16813
478,25.15573
479,25.1438
480,25.15567
481,25.17277
482,25.1817
483,25.20433
484,25.23193
485,25.25863
486,25.30487
487,25.34683
488,25.36717
489,25.40133
490,25.44803
491,25.50667
492,25.5256
493,25.56737
494,25.67663
495,25.7179
496,25.74243
497,25.78457
498,25.81847
499,25.8551
500,25.9017
501,25.94013
502,25.98247
503,26.03147
504,26.06677
505,26.09887
506,26.1314
507,26.15873
508,26.19197
509,26.23493
510,26.27777
511,26.31913
512,26.35797
513,26.39333
514,26.4294
515,26.4682
516,26.5178
517,26.54823
518,26.5658
519,26.62817
520,26.69217
521,26.74447
522,26.7688
