wavelength,reflectance
350,28.0045
351,27.33907
352,26.73697
353,26.22607
354,25.7866
355,25.4646
356,25.30577
357,25.33113
358,25.46603
359,25.53903
360,25.55553
361,25.50593
362,25.36657
363,25.1294
364,24.79677
365,24.38457
366,23.93937
367,23.50887
368,23.10067
369,22.73277
370,22.43023
371,22.22077
372,22.11683
373,22.1353
374,22.19873
375,22.2786
376,22.34723
377,22.3581
378,22.27473
379,22.1553
380,21.99133
381,21.77883
382,21.4944
383,21.15843
384,20.81677
385,20.50873
386,20.24203
387,19.9977
388,19.84537
389,19.80617
390,19.7841
391,19.84633
392,20.0336
393,20.3626
394,20.73433
395,21.02413
396,21.19527
397,21.25023
398,21.22333
399,21.08377
400,20.81803
401,20.37827
402,19.99817
403,19.7311
404,19.5655
405,19.47023
406,19.42197
407,19.35587
408,19.31283
409,19.3186
410,19.3642
411,19.44287
412,19.54687
413,19.62543
414,19.67657
415,19.69333
416,19.68993
417,19.67977
418,19.6844
419,19.71617
420,19.76977
421,19.80797
422,19.84297
423,19.87623
424,19.90433
425,19.91913
426,19.92003
427,19.9529
428,19.97817
429,19.96707
430,19.92287
431,19.88913
432,19.8988
433,19.94317
434,20.00547
435,20.06343
436,20.10787
437,20.13823
438,20.15347
439,20.16693
440,20.1866
441,20.2279
442,20.27977
443,20.34667
444,20.44523
445,20.53233
446,20.5994
447,20.6514
448,20.65677
449,20.6197
450,20.58627
451,20.5604
452,20.54373
453,20.52683
454,20.53053
455,20.56157
456,20.5975
457,20.64397
458,20.69837
459,20.7233
460,20.7496
461,20.78817
462,20.82293
463,20.85637
464,20.8913
465,20.97477
466,21.03447
467,21.0173
468,21.04423
469,21.1106
470,21.21713
471,21.3256
472,21.40227
473,21.4178
474,21.32467
475,21.18633
476,21.0537
477,21.09253
478,21.17473
479,21.20827
480,21.26087
481,21.3149
482,21.3589
483,21.41233
484,21.46787
485,21.52067
486,21.5813
487,21.64907
488,21.72323
489,21.7635
490,21.8224
491,21.9379
492,22.00893
493,22.0709
494,22.1471
495,22.20797
496,22.27507
497,22.36347
498,22.4114
499,22.46633
500,22.56103
501,22.6353
502,22.7086
503,22.7858
504,22.84973
505,22.9134
506,22.98153
507,23.0478
508,23.11737
509,23.19073
510,23.2477
511,23.32197
512,23.41483
513,23.49037
514,23.55963
515,23.63197
516,23.74657
517,23.82617
518,23.8731
519,23.97097
520,24.1046
521,24.24267
522,24.31957
523,24.38637
524,24.47243
525,24.6421
526,24.76643
527,24.85657
528,24.93163
529,25.0313
530,25.14543
531,25.2603
532,25.3753
533,25.49063
534,25.60687
535,25.74707
536,25.8661
537,25.94373
538,26.0274
539,26.09883
540,26.15987
541,26.26183
542,26.37043
543,26.47723
544,26.5778
545,26.67753
546,26.78057
547,26.894
548,27.01617
549,27.13577
550,27.23397
551,27.33737
552,27.4408
553,27.53883
554,27.64373
555,27.74727
556,27.845
557,27.965
558,28.10223
559,28.2468
560,28.34437
561,28.44027
562,28.546
563,28.66397
564,28.79013
565,28.91853
566,29.04137
567,29.13193
568,29.22953
569,29.37187
570,29.48613
571,29.58663
572,29.68317
573,29.79377
574,29.90353
575,30.0087
576,30.11253
577,30.22173
578,30.32903
579,30.41417
580,30.50873
581,30.60617
582,30.69793
583,30.78503
584,30.88093
585,30.989
586,31.07897
587,31.17917
588,31.2882
589,31.38023
590,31.47527
591,31.58153
592,31.7093
593,31.8044
594,31.90267
595,32.02883
596,32.13413
597,32.2402
598,32.34543
599,32.42353
600,32.53017
601,32.6516
602,32.75273
603,32.84717
604,32.94787
605,33.0647
606,33.18447
607,33.27257
608,33.34317
609,33.478
610,33.5794
611,33.66313
612,33.75473
613,33.84177
614,33.94003
615,34.05503
616,34.16677
617,34.25933
618,34.34107
619,34.4359
620,34.52673
621,34.62713
622,34.75057
623,34.89137
624,34.99787
625,35.0701
626,35.15923
627,35.27507
628,35.3949
629,35.4973
630,35.62273
631,35.73563
632,35.82927
633,35.91993
634,35.99587
635,36.07537
636,36.1913
637,36.2871
638,36.3726
639,36.4605
640,36.59717
641,36.6984
642,36.77087
643,36.85027
644,36.94883
645,37.06167
646,37.1777
647,37.27727
648,37.35193
649,37.44183
650,37.58133
651,37.67467
652,37.7669
653,37.87813
654,38.0316
655,38.13867
656,38.22213
657,38.31147
658,38.4137
659,38.53367
660,38.65523
661,38.75167
662,38.83553
663,38.9134
664,38.997
665,39.13077
666,39.25517
667,39.35263
668,39.41627
669,39.50187
670,39.59287
671,39.68977
672,39.80927
673,39.89613
674,39.98087
675,40.08217
676,40.19923
677,40.32467
678,40.434
679,40.50763
680,40.59207
681,40.69093
682,40.7905
683,40.8667
684,40.94297
685,41.0268
686,41.11537
687,41.18983
688,41.2868
689,41.3755
690,41.43857
691,41.5458
692,41.6318
693,41.71547
694,41.80087
695,41.91153
696,42.00227
697,42.0899
698,42.2032
699,42.30537
700,42.40573
701,42.502
702,42.58787
703,42.6948
704,42.7984
705,42.8918
706,42.97977
707,43.0605
708,43.13187
709,43.20037
710,43.2861
711,43.36217
712,43.43297
713,43.50167
714,43.56713
715,43.67013
716,43.75467
717,43.81707
718,43.92093
719,44.01787
720,44.11197
721,44.19593
722,44.23557
723,44.35527
724,44.45533
725,44.51183
726,44.58977
727,44.67043
728,44.76937
729,44.87113
730,44.9316
731,45.01997
732,45.1079
733,45.20123
734,45.3277
735,45.36527
736,45.42947
737,45.4922
738,45.4977
739,45.60043
740,45.64623
741,45.66977
742,45.7487
743,45.8443
744,45.904
745,45.96127
746,46.0334
747,46.0624
748,46.1387
749,46.23513
750,46.3279
751,46.39913
752,46.43363
753,46.5
754,46.56983
755,46.59443
756,46.66187
757,46.73177
758,46.80233
759,46.8783
760,46.96977
761,47.0536
762,47.1407
763,47.21493
764,47.2584
765,47.3288
766,47.38777
767,47.43163
768,47.4668
769,47.51233
770,47.63003
771,47.69023
772,47.7086
773,47.74547
774,47.75173
775,47.79807
776,47.87463
777,47.94107
778,47.93533
779,48.03123
780,48.09923
781,48.12743
782,48.14837
783,48.24277
784,48.24127
785,48.23943
786,48.2857
787,48.388
788,48.4379
789,48.52387
790,48.57973
791,48.61393
792,48.6743
793,48.78853
794,48.7765
795,48.81287
796,48.896
797,48.94867
798,49.03037
799,49.08683
800,49.09063
801,49.13373
802,49.28747
803,49.27937
804,49.3025
805,49.31973
806,49.30993
807,49.29647
808,49.36673
809,49.42723
810,49.40857
811,49.41113
812,49.50173
813,49.5943
814,49.5123
815,49.51073
816,49.5788
817,49.6627
818,49.71647
819,49.6735
820,49.7095
821,49.78233
822,49.81997
823,49.80927
824,49.86253
825,49.849
826,49.9317
827,49.96273
828,49.96313
829,50.00063
830,50.0294
831,50.02733
832,50.09227
833,50.18893
834,50.21307
835,50.1197
836,50.16737
837,50.2783
838,50.32217
839,50.32543
840,50.3255
841,50.34183
842,50.40323
843,50.41297
844,50.43287
845,50.41917
846,50.40127
847,50.42777
848,50.4793
849,50.42927
850,50.45707
851,50.4899
852,50.5217
853,50.54393
854,50.53643
855,50.51797
856,50.5358
857,50.58143
858,50.5829
859,50.60643
860,50.6489
861,50.6332
862,50.62347
863,50.7085
864,50.76327
865,50.77277
866,50.76593
867,50.7712
868,50.79717
869,50.83127
870,50.838
871,50.9008
872,50.93753
873,50.9883
874,51.0385
875,51.04993
876,51.05607
877,51.17403
878,51.14563
879,51.15737
880,51.11203
881,51.09283
882,51.13967
883,51.22773
884,51.28977
885,51.2765
886,51.14777
887,51.18047
888,51.2561
889,51.30317
890,51.26433
891,51.25253
892,51.271
893,51.24567
894,51.2543
895,51.33317
896,51.2565
897,51.26517
898,51.30947
899,51.36397
900,51.3305
901,51.3443
902,51.39867
903,51.41867
904,51.4097
905,51.40557
906,51.4596
907,51.3819
908,51.38057
909,51.42407
910,51.37287
911,51.4632
912,51.519
913,51.57347
914,51.6475
915,51.6877
916,51.7255
917,51.78343
918,51.78147
919,51.75877
920,51.87703
921,51.8479
922,51.82757
923,51.7861
924,51.94583
925,51.9718
926,51.94747
927,51.9241
928,51.94563
929,51.9191
930,51.97287
931,51.97267
932,52.0011
933,52.0838
934,52.0218
935,52.08087
936,52.22123
937,52.09983
938,52.03637
939,52.22717
940,52.2244
941,52.1559
942,52.075
943,52.1918
944,52.1346
945,52.09473
946,52.17367
947,52.19353
948,52.28247
949,52.05377
950,52.08333
951,52.20987
952,52.3645
953,52.35837
954,52.34517
955,52.2462
956,52.2807
957,52.257
958,52.30193
959,52.55487
960,52.41487
961,52.59347
962,52.5066
963,52.35793
964,52.35383
965,52.58983
966,52.57123
967,52.6831
968,52.78483
969,52.68493
970,52.5216
971,52.52247
972,52.7831
973,52.69797
974,52.83427
975,52.68783
976,52.6712
977,52.8232
978,52.95783
979,53.0526
980,53.02717
981,52.50813
982,52.46167
983,52.5655
984,52.42373
985,52.35463
986,52.27437
987,52.25877
988,52.25647
989,52.23997
990,52.1941
991,52.13713
992,52.15937
993,52.28277
994,52.22473
995,52.2884
996,52.36537
997,52.44513
998,52.52117
999,52.5934
1000,52.66103
1001,52.7233
1002,52.78037
1003,52.8329
1004,52.88127
1005,52.9262
1006,52.96827
1007,53.00577
1008,53.0368
1009,53.0585
1010,53.0693
1011,53.07543
1012,53.08353
1013,53.0992
1014,53.11977
1015,53.14203
1016,53.16297
1017,53.18033
1018,53.1954
1019,53.2098
1020,53.2249
1021,53.24217
1022,53.26113
1023,53.2797
1024,53.2958
1025,53.30797
1026,53.31723
1027,53.32497
1028,53.33253
1029,53.33913
1030,53.34397
1031,53.35037
1032,53.3616
1033,53.38073
1034,53.40517
1035,53.43017
1036,53.4509
1037,53.4652
1038,53.47597
1039,53.4859
1040,53.4977
1041,53.5123
1042,53.52803
1043,53.54327
1044,53.55627
1045,53.5664
1046,53.5751
1047,53.5837
1048,53.59377
1049,53.6043
1050,53.61543
1051,53.62843
1052,53.6446
1053,53.66473
1054,53.68727
1055,53.71003
1056,53.73123
1057,53.75153
1058,53.77147
1059,53.79147
1060,53.8117
1061,53.83153
1062,53.85167
1063,53.87307
1064,53.89667
1065,53.92263
1066,53.9495
1067,53.97567
1068,54.0005
1069,54.02577
1070,54.0495
1071,54.0693
1072,54.0826
1073,54.08987
1074,54.0947
1075,54.10067
1076,54.1087
1077,54.1162
1078,54.12603
1079,54.1415
1080,54.1666
1081,54.19967
1082,54.23307
1083,54.25917
1084,54.27443
1085,54.28333
1086,54.29053
1087,54.30053
1088,54.31247
1089,54.3251
1090,54.34017
1091,54.3595
1092,54.38673
1093,54.41787
1094,54.4463
1095,54.46547
1096,54.47507
1097,54.47927
1098,54.4817
1099,54.48567
1100,54.48887
1101,54.4916
1102,54.49547
1103,54.5016
1104,54.50903
1105,54.51787
1106,54.52863
1107,54.5414
1108,54.5558
1109,54.5722
1110,54.59117
1111,54.61363
1112,54.63983
1113,54.66773
1114,54.69527
1115,54.72167
1116,54.7485
1117,54.77447
1118,54.79833
1119,54.82023
1120,54.84093
1121,54.8588
1122,54.87243
1123,54.87877
1124,54.87963
1125,54.8806
1126,54.88727
1127,54.90167
1128,54.9203
1129,54.93953
1130,54.95597
1131,54.96937
1132,54.9815
1133,54.99347
1134,55.0063
1135,55.01873
1136,55.03153
1137,55.04603
1138,55.06393
1139,55.08683
1140,55.11147
1141,55.13393
1142,55.1503
1143,55.1605
1144,55.1686
1145,55.17883
1146,55.19513
1147,55.21663
1148,55.2395
1149,55.25983
1150,55.27493
1151,55.2867
1152,55.29727
1153,55.30863
1154,55.32043
1155,55.33153
1156,55.34463
1157,55.36253
1158,55.38843
1159,55.41997
1160,55.45157
1161,55.47747
1162,55.4961
1163,55.51073
1164,55.52443
1165,55.54013
1166,55.55693
1167,55.57417
1168,55.59187
1169,55.61017
1170,55.62993
1171,55.65003
1172,55.66897
1173,55.68533
1174,55.69907
1175,55.71163
1176,55.72457
1177,55.7394
1178,55.75617
1179,55.77263
1180,55.7864
1181,55.79563
1182,55.80157
1183,55.80577
1184,55.80983
1185,55.81337
1186,55.81547
1187,55.8188
1188,55.82577
1189,55.837
1190,55.8511
1191,55.86717
1192,55.8844
1193,55.90317
1194,55.92357
1195,55.94497
1196,55.9672
1197,55.9942
1198,56.02173
1199,56.0432
1200,56.05227
1201,56.04927
1202,56.03997
1203,56.03027
1204,56.02343
1205,56.01443
1206,56.00743
1207,56.00757
1208,56.01997
1209,56.04253
1210,56.06823
1211,56.0899
1212,56.1047
1213,56.11653
1214,56.1262
1215,56.1344
1216,56.13913
1217,56.14147
1218,56.14523
1219,56.15427
1220,56.1702
1221,56.1899
1222,56.20937
1223,56.22537
1224,56.23897
1225,56.25123
1226,56.26263
1227,56.2732
1228,56.28183
1229,56.2901
1230,56.30027
1231,56.31447
1232,56.33203
1233,56.3505
1234,56.36723
1235,56.38157
1236,56.3948
1237,56.40653
1238,56.4162
1239,56.4216
1240,56.4238
1241,56.42733
1242,56.43663
1243,56.45253
1244,56.4723
1245,56.49333
1246,56.51343
1247,56.53557
1248,56.55783
1249,56.57593
1250,56.58493
1251,56.58183
1252,56.57623
1253,56.5791
1254,56.6
1255,56.63517
1256,56.67517
1257,56.7105
1258,56.73957
1259,56.7674
1260,56.78943
1261,56.80113
1262,56.796
1263,56.77857
1264,56.76037
1265,56.75267
1266,56.75557
1267,56.76403
1268,56.7753
1269,56.78727
1270,56.8032
1271,56.8204
1272,56.83447
1273,56.84193
1274,56.84453
1275,56.84387
1276,56.8412
1277,56.8361
1278,56.82737
1279,56.8183
1280,56.81233
1281,56.81123
1282,56.8131
1283,56.81653
1284,56.82017
1285,56.82293
1286,56.8261
1287,56.8315
1288,56.84093
1289,56.85593
1290,56.8738
1291,56.89113
1292,56.90503
1293,56.91713
1294,56.92787
1295,56.93713
1296,56.9439
1297,56.9471
1298,56.95063
1299,56.9588
1300,56.97553
1301,56.9985
1302,57.02133
1303,57.03763
1304,57.04927
1305,57.05737
1306,57.05813
1307,57.04717
1308,57.01757
1309,56.97943
1310,56.94737
1311,56.93327
1312,56.93027
1313,56.93683
1314,56.9537
1315,56.98447
1316,57.03183
1317,57.0841
1318,57.12877
1319,57.16087
1320,57.18697
1321,57.20827
1322,57.22567
1323,57.23663
1324,57.2425
1325,57.24833
1326,57.25883
1327,57.27457
1328,57.2922
1329,57.30873
1330,57.32187
1331,57.33343
1332,57.3429
1333,57.34887
1334,57.3502
1335,57.34733
1336,57.3413
1337,57.33323
1338,57.32383
1339,57.31243
1340,57.29803
1341,57.27923
1342,57.25103
1343,57.2186
1344,57.1911
1345,57.17713
1346,57.17537
1347,57.1811
1348,57.19037
1349,57.20133
1350,57.2184
1351,57.2363
1352,57.24877
1353,57.25153
1354,57.24787
1355,57.24063
1356,57.23283
1357,57.2236
1358,57.21253
1359,57.20163
1360,57.19283
1361,57.1864
1362,57.18097
1363,57.17497
1364,57.16717
1365,57.15857
1366,57.14883
1367,57.13727
1368,57.12367
1369,57.10867
1370,57.09143
1371,57.0712
1372,57.0502
1373,57.02773
1374,56.99863
1375,56.9576
1376,56.90067
1377,56.83373
1378,56.76517
1379,56.70157
1380,56.63867
1381,56.5767
1382,56.51723
1383,56.46483
1384,56.422
1385,56.3751
1386,56.3098
1387,56.22367
1388,56.1231
1389,56.00733
1390,55.8755
1391,55.7259
1392,55.5605
1393,55.3826
1394,55.19417
1395,54.98803
1396,54.7722
1397,54.5583
1398,54.3503
1399,54.13897
1400,53.93677
1401,53.75747
1402,53.6082
1403,53.48053
1404,53.36517
1405,53.2524
1406,53.1362
1407,53.0269
1408,52.93817
1409,52.88013
1410,52.8429
1411,52.8312
1412,52.85303
1413,52.91823
1414,53.02727
1415,53.16247
1416,53.30543
1417,53.45703
1418,53.6232
1419,53.7933
1420,53.9572
1421,54.1205
1422,54.2823
1423,54.43437
1424,54.56903
1425,54.68767
1426,54.7957
1427,54.89833
1428,54.99763
1429,55.0906
1430,55.17923
1431,55.26577
1432,55.35297
1433,55.4382
1434,55.5164
1435,55.58273
1436,55.6375
1437,55.68287
1438,55.7203
1439,55.7487
1440,55.76347
1441,55.7747
1442,55.79397
1443,55.82753
1444,55.86933
1445,55.91413
1446,55.95677
1447,56.0015
1448,56.0466
1449,56.08547
1450,56.11163
1451,56.12343
1452,56.12797
1453,56.1329
1454,56.14283
1455,56.1532
1456,56.16543
1457,56.1815
1458,56.20497
1459,56.23347
1460,56.25993
1461,56.27757
1462,56.28417
1463,56.28607
1464,56.29037
1465,56.30313
1466,56.32183
1467,56.34303
1468,56.3635
1469,56.3818
1470,56.3997
1471,56.41747
1472,56.43543
1473,56.45407
1474,56.47283
1475,56.49053
1476,56.50663
1477,56.52273
1478,56.5369
1479,56.54653
1480,56.54737
1481,56.53993
1482,56.53347
1483,56.53743
1484,56.55427
1485,56.57893
1486,56.6075
