wavelength,reflectance
350,29.82318
351,29.06238
352,28.36368
353,27.79148
354,27.2668
355,26.8446
356,26.56253
357,26.57735
358,26.78588
359,26.9204
360,27.0408
361,27.1279
362,27.07303
363,26.85043
364,26.4577
365,26.0005
366,25.48138
367,24.89918
368,24.43135
369,24.04925
370,23.6961
371,23.46175
372,23.36825
373,23.4226
374,23.57825
375,23.80595
376,23.88033
377,23.87858
378,23.85188
379,23.7264
380,23.52553
381,23.28258
382,23.01258
383,22.7244
384,22.42735
385,22.1771
386,21.97975
387,21.80275
388,21.6837
389,21.63715
390,21.70298
391,21.83168
392,21.98075
393,22.2643
394,22.61053
395,22.9346
396,23.1345
397,23.20938
398,23.19555
399,23.06598
400,22.81905
401,22.4696
402,22.10573
403,21.77338
404,21.5931
405,21.51742
406,21.51963
407,21.50383
408,21.5003
409,21.52468
410,21.58565
411,21.66825
412,21.75093
413,21.85863
414,21.9706
415,22.0488
416,22.13785
417,22.22728
418,22.28365
419,22.33245
420,22.36775
421,22.34945
422,22.31798
423,22.28615
424,22.25933
425,22.24598
426,22.25178
427,22.3079
428,22.36823
429,22.3967
430,22.37955
431,22.36603
432,22.39308
433,22.43303
434,22.4998
435,22.61253
436,22.72123
437,22.81993
438,22.90418
439,22.95685
440,22.99635
441,23.06933
442,23.14725
443,23.22385
444,23.29103
445,23.35653
446,23.41682
447,23.4539
448,23.47428
449,23.48358
450,23.5006
451,23.51548
452,23.52138
453,23.47458
454,23.47283
455,23.54693
456,23.57218
457,23.60573
458,23.66068
459,23.66008
460,23.68505
461,23.76108
462,23.79815
463,23.85943
464,23.963
465,24.02505
466,24.0644
467,24.09088
468,24.06778
469,24.06898
470,24.1503
471,24.25025
472,24.34193
473,24.40135
474,24.41953
475,24.39695
476,24.33493
477,24.31823
478,24.3186
479,24.3185
480,24.364
481,24.4238
482,24.47503
483,24.51995
484,24.57083
485,24.63718
486,24.72165
487,24.8067
488,24.8788
489,24.94718
490,25.0342
491,25.1563
492,25.21298
493,25.2826
494,25.42043
495,25.50218
496,25.5738
497,25.66565
498,25.73593
499,25.80923
500,25.90238
501,25.98345
502,26.06863
503,26.16198
504,26.2422
505,26.32023
506,26.4002
507,26.4849
508,26.56395
509,26.63698
510,26.74823
511,26.83848
512,26.90535
513,27.0184
514,27.11638
515,27.19413
516,27.28758
517,27.37003
518,27.44943
519,27.58685
520,27.71705
521,27.833
522,27.94258
523,28.03815
524,28.13795
525,28.2898
526,28.4138
527,28.5191
528,28.6205
529,28.7433
530,28.867
531,28.96295
532,29.06103
533,29.17018
534,29.29805
535,29.43565
536,29.57885
537,29.72145
538,29.84
539,29.94293
540,30.03605
541,30.1382
542,30.24873
543,30.36373
544,30.46673
545,30.5539
546,30.64045
547,30.76238
548,30.88418
549,31.0042
550,31.1262
551,31.2519
552,31.3676
553,31.4617
554,31.59385
555,31.72905
556,31.84293
557,31.9622
558,32.09163
559,32.22905
560,32.33863
561,32.4555
562,32.58195
563,32.69825
564,32.82073
565,32.94965
566,33.08268
567,33.20313
568,33.32088
569,33.44658
570,33.59033
571,33.7124
572,33.79703
573,33.9027
574,34.0131
575,34.125
576,34.2425
577,34.354
578,34.4594
579,34.55993
580,34.6862
581,34.80693
582,34.89158
583,35.00393
584,35.113
585,35.206
586,35.3102
587,35.41768
588,35.52825
589,35.6485
590,35.7406
591,35.82795
592,35.95895
593,36.05778
594,36.15958
595,36.2875
596,36.37665
597,36.4943
598,36.63545
599,36.71828
600,36.81805
601,36.93423
602,37.0513
603,37.16775
604,37.2778
605,37.3778
606,37.49575
607,37.60163
608,37.6982
609,37.82425
610,37.93048
611,38.0288
612,38.13753
613,38.24133
614,38.3438
615,38.45108
616,38.5892
617,38.70813
618,38.80413
619,38.8817
620,38.98438
621,39.09963
622,39.21223
623,39.33653
624,39.43365
625,39.50873
626,39.61455
627,39.73753
628,39.8499
629,39.92898
630,40.041
631,40.1516
632,40.25263
633,40.35313
634,40.43695
635,40.52028
636,40.63368
637,40.7483
638,40.86598
639,40.98388
640,41.08138
641,41.17678
642,41.27003
643,41.35525
644,41.47188
645,41.59743
646,41.71593
647,41.81583
648,41.90463
649,42.00078
650,42.11965
651,42.21975
652,42.32875
653,42.45725
654,42.6154
655,42.72463
656,42.81088
657,42.9049
658,42.99135
659,43.1182
660,43.2573
661,43.34575
662,43.4282
663,43.51148
664,43.60588
665,43.74738
666,43.86275
667,43.96345
668,44.06773
669,44.1538
670,44.25555
671,44.37393
672,44.4782
673,44.57693
674,44.6725
675,44.76963
676,44.88943
677,45.0054
678,45.0999
679,45.1617
680,45.2416
681,45.34775
682,45.4616
683,45.5503
684,45.64292
685,45.72945
686,45.81595
687,45.93375
688,46.03428
689,46.11483
690,46.18795
691,46.3111
692,46.3911
693,46.47405
694,46.58378
695,46.6968
696,46.7935
697,46.88783
698,47.00215
699,47.12888
700,47.22643
701,47.30378
702,47.39195
703,47.49205
704,47.57355
705,47.65253
706,47.78613
707,47.86155
708,47.93178
709,48.0183
710,48.11088
711,48.18763
712,48.2709
713,48.36133
714,48.43038
715,48.51383
716,48.59563
717,48.67515
718,48.77413
719,48.86248
720,48.96115
721,49.0673
722,49.14295
723,49.26315
724,49.36908
725,49.45058
726,49.55945
727,49.62505
728,49.70825
729,49.82293
730,49.93248
731,49.99615
732,50.06375
733,50.15515
734,50.27068
735,50.32993
736,50.38773
737,50.4426
738,50.4826
739,50.58393
740,50.6148
741,50.62998
742,50.72375
743,50.81783
744,50.85665
745,50.91493
746,51.02338
747,51.05325
748,51.13053
749,51.20738
750,51.28045
751,51.39153
752,51.42298
753,51.471
754,51.5448
755,51.62165
756,51.69513
757,51.75885
758,51.8279
759,51.91345
760,52.0116
761,52.09348
762,52.19083
763,52.2719
764,52.29353
765,52.33345
766,52.38633
767,52.45203
768,52.51835
769,52.54193
770,52.64228
771,52.68948
772,52.7062
773,52.75658
774,52.75978
775,52.79338
776,52.86798
777,52.93703
778,52.90858
779,53.0265
780,53.10735
781,53.14573
782,53.17735
783,53.24393
784,53.2836
785,53.26798
786,53.2912
787,53.44073
788,53.48663
789,53.57363
790,53.62138
791,53.65415
792,53.73518
793,53.83025
794,53.8788
795,53.93823
796,54.0005
797,54.0406
798,54.12915
799,54.21185
800,54.2245
801,54.24235
802,54.34708
803,54.33733
804,54.40165
805,54.43203
806,54.39845
807,54.356
808,54.42878
809,54.43315
810,54.4645
811,54.50613
812,54.54125
813,54.5961
814,54.61828
815,54.60448
816,54.61463
817,54.67003
818,54.72433
819,54.7052
820,54.77323
821,54.8345
822,54.85838
823,54.86803
824,54.91955
825,54.9268
826,54.9756
827,55.01375
828,55.05108
829,55.10518
830,55.13598
831,55.11048
832,55.14073
833,55.23375
834,55.29098
835,55.23405
836,55.30673
837,55.38498
838,55.40508
839,55.40508
840,55.4201
841,55.45685
842,55.50778
843,55.43978
844,55.532
845,55.55648
846,55.52115
847,55.51625
848,55.49668
849,55.4932
850,55.53165
851,55.57613
852,55.62105
853,55.64098
854,55.6112
855,55.5976
856,55.61138
857,55.69483
858,55.7453
859,55.75138
860,55.73773
861,55.73478
862,55.77688
863,55.83425
864,55.84598
865,55.85623
866,55.8931
867,55.93018
868,55.94933
869,56.00228
870,56.02815
871,55.98505
872,56.08328
873,56.12783
874,56.17103
875,56.23713
876,56.2358
877,56.31245
878,56.26933
879,56.26005
880,56.30915
881,56.32933
882,56.33363
883,56.35908
884,56.39003
885,56.37945
886,56.35475
887,56.3588
888,56.42473
